"filename", "language", "JSON", "HTML", "JavaScript", "MS SQL", "JavaScript JSX", "PostCSS", "Markdown", "Dotenv", "XML", "comment", "blank", "total"
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\MCQPdf.jsx", "JavaScript JSX", 0, 0, 0, 0, 87, 0, 0, 0, 0, 11, 24, 122
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 93, 0, 0, 0, 0, 1, 8, 102
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\PaymentForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 28, 216
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\RegistrationPageDecoration.jsx", "JavaScript JSX", 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 9, 200
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\Scroller.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\SignUpForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 440, 0, 0, 0, 0, 0, 34, 474
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\SubjectCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 2, 27
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\TopicCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 2, 14
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\adminComponents\AdminDashboardHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\adminComponents\AdminMCQCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 88, 0, 0, 0, 0, 1, 14, 103
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\frontend\components\adminComponents\AdminNavbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 9, 80
